,oil_temp
2026-09-21 00:00:00,44.06403798907564
2026-09-21 00:15:00,45.78435647798642
2026-09-21 00:30:00,48.36902159695369
2026-09-21 00:45:00,50.78906794736365
2026-09-21 01:00:00,50.89840576920641
2026-09-21 01:15:00,52.23606963258347
2026-09-21 01:30:00,54.87059343826766
2026-09-21 01:45:00,55.2716898799608
2026-09-21 02:00:00,55.2171115197308
2026-09-21 02:15:00,56.86150951401935
2026-09-21 02:30:00,56.80466183935745
2026-09-21 02:45:00,57.47547712202952
2026-09-21 03:00:00,58.649052701751756
2026-09-21 03:15:00,57.47572952033226
2026-09-21 03:30:00,58.12827391636559
2026-09-21 03:45:00,59.51774797509247
2026-09-21 04:00:00,59.57986046319724
2026-09-21 04:15:00,61.032156558832774
2026-09-21 04:30:00,60.41731374087577
2026-09-21 04:45:00,60.35289388766653
2026-09-21 05:00:00,62.97348678019215
2026-09-21 05:15:00,61.920576573579076
2026-09-21 05:30:00,62.43985182226574
2026-09-21 05:45:00,61.51714713423224
2026-09-21 06:00:00,62.48084639728267
2026-09-21 06:15:00,63.25435331879309
2026-09-21 06:30:00,62.48529575766274
2026-09-21 06:45:00,63.939513394119494
2026-09-21 07:00:00,63.384717065549545
2026-09-21 07:15:00,63.85243867704441
2026-09-21 07:30:00,63.820052934243755
2026-09-21 07:45:00,65.99458846155808
2026-09-21 08:00:00,67.29428659215323
2026-09-21 08:15:00,68.79792414103431
2026-09-21 08:30:00,72.25487277499691
2026-09-21 08:45:00,72.24455600909428
2026-09-21 09:00:00,74.7343735775834
2026-09-21 09:15:00,74.11041764749044
2026-09-21 09:30:00,75.5285310963194
2026-09-21 09:45:00,77.49565857978743
2026-09-21 10:00:00,78.53786906073277
2026-09-21 10:15:00,78.57879155731499
2026-09-21 10:30:00,78.74997901887322
2026-09-21 10:45:00,78.9262778716399
2026-09-21 11:00:00,78.24806218805574
2026-09-21 11:15:00,79.07084311158616
2026-09-21 11:30:00,79.45739583582632
2026-09-21 11:45:00,80.82379480655791
2026-09-21 12:00:00,80.38648031012653
2026-09-21 12:15:00,78.82307489954637
2026-09-21 12:30:00,80.60926743732696
2026-09-21 12:45:00,80.15828905586119
2026-09-21 13:00:00,80.0455991098067
2026-09-21 13:15:00,81.20563829088834
2026-09-21 13:30:00,81.68206813242655
2026-09-21 13:45:00,81.75806919009439
2026-09-21 14:00:00,88.51488140215484
2026-09-21 14:15:00,81.08747936824457
2026-09-21 14:30:00,81.73181700566283
2026-09-21 14:45:00,82.36955038485938
2026-09-21 15:00:00,81.32457444814645
2026-09-21 15:15:00,81.68009575229854
2026-09-21 15:30:00,81.07097709783265
2026-09-21 15:45:00,81.13749729907725
2026-09-21 16:00:00,82.8977378810393
2026-09-21 16:15:00,83.50427159921283
2026-09-21 16:30:00,82.55470097309602
2026-09-21 16:45:00,83.63253176057773
2026-09-21 17:00:00,83.36346186108403
2026-09-21 17:15:00,82.83206301757797
2026-09-21 17:30:00,83.9432013609467
2026-09-21 17:45:00,85.22460549147742
2026-09-21 18:00:00,84.3419237404693
2026-09-21 18:15:00,83.43939188369619
2026-09-21 18:30:00,78.17989462736914
2026-09-21 18:45:00,79.25608849746003
2026-09-21 19:00:00,77.19468292062052
2026-09-21 19:15:00,75.58882336848454
2026-09-21 19:30:00,74.75743659431934
2026-09-21 19:45:00,72.08262293383969
2026-09-21 20:00:00,72.60058945319844
2026-09-21 20:15:00,72.26536210320873
2026-09-21 20:30:00,72.45176304053139
2026-09-21 20:45:00,70.21953848454903
2026-09-21 21:00:00,69.41702899028924
2026-09-21 21:15:00,69.14840812817893
2026-09-21 21:30:00,69.81695473703728
2026-09-21 21:45:00,68.92478856366061
2026-09-21 22:00:00,67.85183995829968
2026-09-21 22:15:00,68.33194819643185
2026-09-21 22:30:00,67.67227762077157
2026-09-21 22:45:00,68.06674079324489
2026-09-21 23:00:00,66.44814031500054
2026-09-21 23:15:00,66.48360391989209
2026-09-21 23:30:00,66.18360177585271
2026-09-21 23:45:00,65.09156380152794
