,predicted,measured,residual
2026-09-21 00:00:00,43.66666666666666,44.06403798907564,0.3973713224089863
2026-09-21 00:15:00,45.89496791892337,45.78435647798642,-0.11061144093694963
2026-09-21 00:30:00,47.850870766473136,48.36902159695369,0.5181508304805504
2026-09-21 00:45:00,49.57064406223723,50.78906794736365,1.2184238851264197
2026-09-21 01:00:00,51.08572846898508,50.89840576920641,-0.18732269977866878
2026-09-21 01:15:00,52.42337919814282,52.23606963258347,-0.18730956555934597
2026-09-21 01:30:00,53.60722318586175,54.87059343826766,1.2633702524059132
2026-09-21 01:45:00,54.65774209663848,55.2716898799608,0.6139477833223239
2026-09-21 02:00:00,55.59269102847876,55.2171115197308,-0.3755795087479612
2026-09-21 02:15:00,56.42746147915058,56.86150951401935,0.4340480348687734
2026-09-21 02:30:00,57.17539599360742,56.80466183935745,-0.37073415424996625
2026-09-21 02:45:00,57.84806092488572,57.47547712202952,-0.3725838028562052
2026-09-21 03:00:00,58.45548288449893,58.649052701751756,0.19356981725282907
2026-09-21 03:15:00,59.0063537160585,57.47572952033226,-1.53062419572624
2026-09-21 03:30:00,59.508208182376016,58.12827391636559,-1.379934266010423
2026-09-21 03:45:00,59.96757799848525,59.51774797509247,-0.4498300233927779
2026-09-21 04:00:00,60.39012535946478,59.57986046319724,-0.8102648962675403
2026-09-21 04:15:00,60.78075869275656,61.032156558832774,0.2513978660762177
2026-09-21 04:30:00,61.14373300129274,60.41731374087577,-0.7264192604169679
2026-09-21 04:45:00,61.48273684873477,60.35289388766653,-1.1298429610682348
2026-09-21 05:00:00,61.80096776505491,62.97348678019215,1.1725190151372402
2026-09-21 05:15:00,62.1011976139683,61.920576573579076,-0.18062104038922655
2026-09-21 05:30:00,62.3858292585154,62.43985182226574,0.05402256375033687
2026-09-21 05:45:00,62.656945683203006,61.51714713423224,-1.1397985489707665
2026-09-21 06:00:00,62.91635257690282,62.48084639728267,-0.43550617962014826
2026-09-21 06:15:00,63.1656152470252,63.25435331879309,0.08873807176789228
2026-09-21 06:30:00,63.40609061960058,62.48529575766274,-0.9207948619378428
2026-09-21 06:45:00,63.63895497944296,63.939513394119494,0.3005584146765372
2026-09-21 07:00:00,63.86522801748459,63.384717065549545,-0.4805109519350452
2026-09-21 07:15:00,64.08579367687904,63.85243867704441,-0.23335499983462427
2026-09-21 07:30:00,64.30141822402727,63.820052934243755,-0.48136528978351834
2026-09-21 07:45:00,64.51276591395093,65.99458846155808,1.4818225476071518
2026-09-21 08:00:00,67.30508437194358,67.29428659215323,-0.01079777979035157
2026-09-21 08:15:00,69.64409288419904,68.79792414103431,-0.8461687431647249
2026-09-21 08:30:00,71.59683684531436,72.25487277499691,0.6580359296825549
2026-09-21 08:45:00,73.2212309290711,72.24455600909428,-0.9766749199768157
2026-09-21 09:00:00,74.5672827015796,74.7343735775834,0.16709087600379746
